tempC, presPa, humRH, seconds, future_temp_1, future_temp_2, future_temp_3, future_temp_4, future_temp_5
0.332167, 1.017948, 0.880098, 0.000012, 0.331500, 0.321333, 0.320000, 0.320667, 0.376500
0.331833, 1.017953, 0.880410, 0.003484, 0.331667, 0.320667, 0.319000, 0.320000, 0.379667
0.331500, 1.017996, 0.880801, 0.006968, 0.331667, 0.320333, 0.318167, 0.319000, 0.383167
0.331333, 1.018069, 0.880771, 0.010428, 0.331667, 0.319833, 0.317333, 0.317500, 0.386333
0.331167, 1.018128, 0.880654, 0.013900, 0.331500, 0.319333, 0.316833, 0.316667, 0.388667
0.331000, 1.018091, 0.881182, 0.017373, 0.331333, 0.319000, 0.316167, 0.315833, 0.390833
0.331000, 1.018090, 0.881924, 0.020845, 0.331500, 0.318500, 0.315833, 0.314667, 0.393667
0.331000, 1.018103, 0.883018, 0.024317, 0.331500, 0.317500, 0.315167, 0.313500, 0.394333
0.331000, 1.018140, 0.883359, 0.027789, 0.331333, 0.316333, 0.314500, 0.312000, 0.394000
0.331167, 1.018143, 0.883809, 0.031262, 0.331167, 0.314833, 0.313500, 0.311000, 0.394333
0.331333, 1.018141, 0.884697, 0.034745, 0.331167, 0.313167, 0.312333, 0.310667, 0.395667
0.331500, 1.018134, 0.885586, 0.038206, 0.331333, 0.311500, 0.311000, 0.310000, 0.397167
0.331500, 1.018138, 0.885918, 0.041678, 0.331333, 0.310000, 0.309833, 0.310500, 0.396667
0.331667, 1.018098, 0.885156, 0.045162, 0.331000, 0.308333, 0.308167, 0.311167, 0.398333
0.331667, 1.018102, 0.884414, 0.048623, 0.331167, 0.306667, 0.306667, 0.311833, 0.399333
0.331667, 1.018063, 0.885586, 0.052095, 0.331167, 0.304833, 0.305167, 0.312667, 0.401167
0.331500, 1.018025, 0.886572, 0.055567, 0.331167, 0.303167, 0.303833, 0.313000, 0.403000
0.331333, 1.018009, 0.886660, 0.059039, 0.331167, 0.301833, 0.302000, 0.313167, 0.404000
0.331500, 1.017948, 0.886436, 0.062523, 0.330833, 0.300833, 0.300667, 0.313667, 0.406000
0.331500, 1.017936, 0.885029, 0.065984, 0.330833, 0.299833, 0.299500, 0.313667, 0.407833
0.331333, 1.017879, 0.886113, 0.069456, 0.330833, 0.299167, 0.298500, 0.313833, 0.409500
0.331167, 1.017829, 0.888809, 0.072940, 0.330833, 0.298500, 0.297167, 0.314333, 0.411000
0.331167, 1.017846, 0.887510, 0.076400, 0.330667, 0.298000, 0.296167, 0.314333, 0.411667
0.331333, 1.017854, 0.886426, 0.079873, 0.330667, 0.297500, 0.295333, 0.314500, 0.412667
0.331333, 1.017868, 0.886875, 0.083356, 0.330500, 0.297167, 0.294333, 0.314500, 0.412333
0.331000, 1.017812, 0.887686, 0.086817, 0.330500, 0.297167, 0.293167, 0.314833, 0.413167
0.331167, 1.017826, 0.887188, 0.090289, 0.329833, 0.297333, 0.292333, 0.315000, 0.414000
0.331167, 1.017807, 0.887295, 0.093762, 0.329833, 0.297833, 0.291333, 0.315167, 0.415167
0.331167, 1.017773, 0.886748, 0.097234, 0.330000, 0.298667, 0.289833, 0.315333, 0.415167
0.331167, 1.017741, 0.886855, 0.100718, 0.330000, 0.300167, 0.288833, 0.315500, 0.415500
0.330833, 1.017727, 0.887451, 0.097245, 0.330000, 0.302333, 0.287833, 0.315667, 0.415500
0.330833, 1.017717, 0.887783, 0.104734, 0.329833, 0.305167, 0.286833, 0.316000, 0.414500
0.330833, 1.017666, 0.888760, 0.107650, 0.329833, 0.309667, 0.285667, 0.316167, 0.413833
0.330833, 1.017652, 0.888545, 0.111134, 0.329667, 0.317667, 0.284667, 0.316333, 0.412500
0.330667, 1.017595, 0.889082, 0.114595, 0.329500, 0.325833, 0.283500, 0.316333, 0.411167
0.330667, 1.017553, 0.889932, 0.118067, 0.329333, 0.335333, 0.282333, 0.316000, 0.410167
0.330500, 1.017521, 0.889590, 0.121539, 0.329167, 0.347000, 0.281333, 0.316000, 0.409500
0.330500, 1.017511, 0.889355, 0.125012, 0.329000, 0.359833, 0.280333, 0.315667, 0.407000
0.329833, 1.017459, 0.888955, 0.128495, 0.328667, 0.368667, 0.279333, 0.315333, 0.406167
0.329833, 1.017450, 0.890488, 0.131956, 0.327833, 0.374500, 0.278167, 0.315000, 0.407167
0.330000, 1.017455, 0.890508, 0.135428, 0.327333, 0.379333, 0.277167, 0.314667, 0.409667
0.330000, 1.017429, 0.889854, 0.138912, 0.326833, 0.381500, 0.276167, 0.314333, 0.410500
0.330000, 1.017412, 0.889424, 0.142373, 0.326500, 0.382333, 0.275167, 0.313500, 0.412333
