day, seconds, tempC, presPa, humRH
0, 55870, 14.470000, 101545.578125, 0.746113
0, 56102, 14.270000, 101545.613281, 0.739277
0, 56401, 14.180000, 101549.136719, 0.735371
0, 56701, 14.150000, 101549.894531, 0.710938
0, 57002, 14.180000, 101551.242188, 0.718711
0, 57301, 14.240000, 101554.175781, 0.723320
0, 57601, 14.250000, 101555.296875, 0.697734
0, 57901, 14.240000, 101561.082031, 0.697832
0, 58201, 14.190000, 101569.078125, 0.713096
0, 58501, 14.130000, 101573.253906, 0.725020
0, 58801, 14.070000, 101572.367188, 0.726680
0, 59101, 14.000000, 101575.718750, 0.738145
0, 59402, 13.900000, 101577.339844, 0.741523
0, 59701, 13.800000, 101581.777344, 0.721836
0, 60001, 13.720000, 101582.968750, 0.734160
0, 60302, 13.640000, 101585.015625, 0.739531
0, 60601, 13.560000, 101583.675781, 0.757998
0, 60901, 13.480000, 101585.414062, 0.759082
0, 61201, 13.410000, 101589.773438, 0.773145
0, 61501, 13.330000, 101596.820312, 0.744854
0, 61802, 13.240000, 101601.464844, 0.748877
0, 62101, 13.170000, 101605.632812, 0.749297
0, 62401, 13.100000, 101611.175781, 0.754014
0, 62702, 13.020000, 101616.273438, 0.763564
0, 63001, 12.930000, 101622.226562, 0.769902
0, 63301, 12.840000, 101623.625000, 0.773672
0, 63601, 12.710000, 101627.164062, 0.784209
0, 63901, 12.610000, 101628.503906, 0.787559
0, 64202, 12.500000, 101631.878906, 0.791416
0, 64501, 12.400000, 101633.542969, 0.798564
0, 64801, 12.290000, 101640.500000, 0.804414
0, 65102, 12.190000, 101648.738281, 0.809902
0, 65401, 12.080000, 101654.449219, 0.810479
0, 65701, 11.980000, 101658.742188, 0.817744
0, 66001, 11.890000, 101660.621094, 0.818896
0, 66301, 11.800000, 101664.156250, 0.818818
0, 66601, 11.730000, 101672.378906, 0.822529
0, 66901, 11.660000, 101679.351562, 0.827334
0, 67201, 11.600000, 101681.121094, 0.828086
